"time","altitude","downrange_distance","angle","stage"
"t=0s",0,0,90,"first"
"t=1s",0.001,0,90,"first"
"t=2s",0.003,0,90,"first"
"t=3s",0.007,0,90,"first"
"t=4s",0.015,0,90,"first"
"t=5s",0.028,0,90,"first"
"t=6s",0.046,0,90,"first"
"t=7s",0.07,0,90,"first"
"t=8s",0.098,0,90,"first"
"t=9s",0.132,0,90,"first"
"t=10s",0.172,0,90,"first"
"t=11s",0.217,0,90,"first"
"t=12s",0.267,0,90,"first"
"t=13s",0.323,0,90,"first"
"t=14s",0.384,0,90,"first"
"t=15s",0.452,0,90,"first"
"t=16s",0.526,0,90,"first"
"t=17s",0.606,0,90,"first"
"t=18s",0.692,0,90,"first"
"t=19s",0.784,0,90,"first"
"t=20s",0.883,0,90,"first"
"t=21s",0.988,0.002,90,"first"
"t=22s",1.099,0.004,90,"first"
"t=23s",1.215,0.007,90,"first"
"t=24s",1.337,0.011,90,"first"
"t=25s",1.464,0.019,89.499,"first"
"t=26s",1.598,0.03,88.618,"first"
"t=27s",1.738,0.045,87.738,"first"
"t=28s",1.883,0.066,86.643,"first"
"t=29s",2.035,0.091,85.295,"first"
"t=30s",2.193,0.121,84.073,"first"
"t=31s",2.357,0.157,82.843,"first"
"t=32s",2.502,0.197,81.32,"first"
"t=33s",2.672,0.242,79.855,"first"
"t=34s",2.871,0.29,78.644,"first"
"t=35s",3.068,0.34,77.557,"first"
"t=36s",3.243,0.392,77.034,"first"
"t=37s",3.455,0.446,76.848,"first"
"t=38s",3.65,0.501,76.457,"first"
"t=39s",3.837,0.558,75.931,"first"
"t=40s",4.079,0.617,75.592,"first"
"t=41s",4.305,0.677,75.097,"first"
"t=42s",4.522,0.74,74.5,"first"
"t=43s",4.743,0.806,74.079,"first"
"t=44s",4.967,0.877,73.499,"first"
"t=45s",5.192,0.952,72.629,"first"
"t=46s",5.42,1.031,71.693,"first"
"t=47s",5.658,1.116,70.777,"first"
"t=48s",5.903,1.204,69.956,"first"
"t=49s",6.134,1.296,69.321,"first"
"t=50s",6.358,1.391,68.945,"first"
"t=51s",6.606,1.489,68.466,"first"
"t=52s",6.859,1.589,67.902,"first"
"t=53s",7.123,1.692,67.358,"first"
"t=54s",7.399,1.799,66.969,"first"
"t=55s",7.65,1.908,66.686,"first"
"t=56s",7.91,2.022,66.447,"first"
"t=57s",8.184,2.141,66.111,"first"
