Sample,Pheno,CellType,Individual,GFP_Sorted
F5541.cl1_neurFile_F5541.cl1_C_Neur,Control,Neurons,F5541,no
F7647.cl1_neurFile_F7647.cl1_C_Neur,Control,Neurons,F7647,no
F5541.cl2_neurFile_F5541.cl2_C_Neur,Control,Neurons,F5541,no
F5618.cl3_neurFile_F5618.cl3_C_Neur,Control,Neurons,F5618,no
F7647.cl3_neurFile_F7647.cl3_C_Neur,Control,Neurons,F7647,no
F7672.cl5_neurFile_F7672.cl5_C_Neur,Control,Neurons,F7672,no
F5618.cl6_neurFile_F5618.cl6_C_Neur,Control,Neurons,F5618,no
F7672.cl6_neurFile_F7672.cl6_C_Neur,Control,Neurons,F7672,no
F5541.GFP.cl1_neurFile_F5541.GFP.cl1_C_Neur,Control,Neurons,F5541,yes
F5541.GFP.cl2_neurFile_F5541.GFP.cl2_C_Neur,Control,Neurons,F5541,yes
F5618.GFP.cl6_neurFile_F5618.GFP.cl6_C_Neur,Control,Neurons,F5618,yes
F7672.GFP.cl5_neurFile_F7672.GFP.cl5_C_Neur,Control,Neurons,F7672,yes
F7672.GFP.cl6_neurFile_F7672.GFP.cl6_C_Neur,Control,Neurons,F7672,yes
F5541.cl1_npcFile_F5541.cl1_C_NPC,Control,NPC,F5541,no
F6119.cl1_npcFile_F6119.cl1_C_NPC,Control,NPC,F6119,no
F7647.cl1_npcFile_F7647.cl1_C_NPC,Control,NPC,F7647,no
F5541.cl2_npcFile_F5541.cl2_C_NPC,Control,NPC,F5541,no
F7647.cl2_npcFile_F7647.cl2_C_NPC,Control,NPC,F7647,no
F5618.cl3_npcFile_F5618.cl3_C_NPC,Control,NPC,F5618,no
F7647.cl3_npcFile_F7647.cl3_C_NPC,Control,NPC,F7647,no
F7315.cl4_npcFile_F7315.cl4_C_NPC,Control,NPC,F7315,no
F7672.cl4_npcFile_F7672.cl4_C_NPC,Control,NPC,F7672,no
F5541.cl5_npcFile_F5541.cl5_C_NPC,Control,NPC,F5541,no
F7315.cl5_npcFile_F7315.cl5_C_NPC,Control,NPC,F7315,no
F7672.cl5_npcFile_F7672.cl5_C_NPC,Control,NPC,F7672,no
F5618.cl6_npcFile_F5618.cl6_C_NPC,Control,NPC,F5618,no
F7672.cl6_npcFile_F7672.cl6_C_NPC,Control,NPC,F7672,no
F6119.cl7_npcFile_F6119.cl7_C_NPC,Control,NPC,F6119,no
F2613.cl1_neurFile_F2613.cl1_P_Neur,Patient,Neurons,F2613,no
F6281.cl1_neurFile_F6281.cl1_P_Neur,Patient,Neurons,F6281,no
F2735.cl2_neurFile_F2735.cl2_P_Neur,Patient,Neurons,F2735,no
F7511.cl2_neurFile_F7511.cl2_P_Neur,Patient,Neurons,F7511,no
F2735.cl3_neurFile_F2735.cl3_P_Neur,Patient,Neurons,F2735,no
F2688.cl4_neurFile_F2688.cl4_P_Neur,Patient,Neurons,F2688,no
F6136.cl4_neurFile_F6136.cl4_P_Neur,Patient,Neurons,F6136,no
F6281.cl4_neurFile_F6281.cl4_P_Neur,Patient,Neurons,F6281,no
F2688.cl6_neurFile_F2688.cl6_P_Neur,Patient,Neurons,F2688,no
F2613.GFP.cl1_neurFile_F2613.GFP.cl1_P_Neur,Patient,Neurons,F2613,yes
F2735.GFP.cl2_neurFile_F2735.GFP.cl2_P_Neur,Patient,Neurons,F2735,yes
F6281.GFP.cl1_neurFile_F6281.GFP.cl1_P_Neur,Patient,Neurons,F6281,yes
