"time","altitude","downrange_distance","stage"
0,0,0,"first"
1,0.001,0,"first"
2,0.003,0,"first"
3,0.007,0,"first"
4,0.015,0,"first"
5,0.028,0,"first"
6,0.046,0,"first"
7,0.07,0,"first"
8,0.098,0,"first"
9,0.132,0,"first"
10,0.172,0,"first"
11,0.217,0,"first"
12,0.267,0,"first"
13,0.323,0,"first"
14,0.384,0,"first"
15,0.452,0,"first"
16,0.526,0,"first"
17,0.606,0,"first"
18,0.692,0,"first"
19,0.784,0,"first"
20,0.883,0,"first"
21,0.988,0.002,"first"
22,1.099,0.004,"first"
23,1.215,0.007,"first"
24,1.337,0.011,"first"
25,1.464,0.019,"first"
26,1.598,0.03,"first"
27,1.738,0.045,"first"
28,1.883,0.066,"first"
29,2.035,0.091,"first"
30,2.193,0.121,"first"
31,2.357,0.157,"first"
32,2.502,0.197,"first"
33,2.672,0.242,"first"
34,2.871,0.29,"first"
35,3.068,0.34,"first"
36,3.243,0.392,"first"
37,3.455,0.446,"first"
38,3.65,0.501,"first"
39,3.837,0.558,"first"
40,4.079,0.617,"first"
41,4.305,0.677,"first"
42,4.522,0.74,"first"
43,4.743,0.806,"first"
44,4.967,0.877,"first"
45,5.192,0.952,"first"
46,5.42,1.031,"first"
47,5.658,1.116,"first"
48,5.903,1.204,"first"
49,6.134,1.296,"first"
50,6.358,1.391,"first"
51,6.606,1.489,"first"
52,6.859,1.589,"first"
53,7.123,1.692,"first"
54,7.399,1.799,"first"
55,7.65,1.908,"first"
56,7.91,2.022,"first"
57,8.184,2.141,"first"
58,8.46,2.264,"first"
59,8.727,2.392,"first"
60,9.011,2.526,"first"
61,9.285,2.665,"first"
62,9.602,2.81,"first"
63,9.901,2.961,"first"
64,10.185,3.117,"first"
65,10.493,3.278,"first"
66,10.8,3.444,"first"
67,11.076,3.616,"first"
68,11.394,3.793,"first"
69,11.75,3.976,"first"
70,12.07,4.165,"first"
71,12.386,4.362,"first"
72,12.739,4.565,"first"
73,13.088,4.777,"first"
74,13.45,4.997,"first"
75,13.783,5.226,"first"
76,13.969,5.464,"first"
77,14.494,5.711,"first"
78,14.893,5.965,"first"
79,15.31,6.228,"first"
80,15.678,6.499,"first"
81,16.05,6.779,"first"
82,16.479,7.069,"first"
83,16.882,7.371,"first"
84,17.326,7.686,"first"
85,17.75,8.014,"first"
86,18.191,8.354,"first"
87,18.618,8.708,"first"
88,19.035,9.074,"first"
89,19.45,9.453,"first"
90,19.934,9.845,"first"
91,20.465,10.25,"first"
