,SampleID,var1,var2,var3
HB_18_34,HB_18_34,NA,18,34
HB_22_35,HB_22_35,NA,22,35
HB_16_29,HB_16_29,NA,16,29
HB_17_91,HB_17_91,NA,17,91
HB_18_16,HB_18_16,NA,18,16
HB_16_62,HB_16_62,NA,16,62
HB_18_35,HB_18_35,NA,18,35
HB_20_84,HB_20_84,NA,20,84
HB_20_80,HB_20_80,NA,20,80
HB_17_26,HB_17_26,NA,17,26
HB_20_75,HB_20_75,NA,20,75
HB_20_76,HB_20_76,NA,20,76
HB_20_88,HB_20_88,NA,20,88
HB_18_17,HB_18_17,NA,18,17
HB_18_64,HB_18_64,NA,18,64
HB_20_27,HB_20_27,NA,20,27
HB_16_76,HB_16_76,NA,16,76
HB_17_59,HB_17_59,NA,17,59
HB_18_68,HB_18_68,NA,18,68
HB_17_74,HB_17_74,NA,17,74
HB_20_29,HB_20_29,NA,20,29
HB_18_58,HB_18_58,NA,18,58
HB_17_75,HB_17_75,NA,17,75
HB_20_82,HB_20_82,NA,20,82
HB_22_42,HB_22_42,NA,22,42
HB_20_86,HB_20_86,NA,20,86
HB_17_58,HB_17_58,NA,17,58
HB_20_97,HB_20_97,NA,20,97
HB_16_28,HB_16_28,NA,16,28
HB_20_73,HB_20_73,NA,20,73
HB_20_83,HB_20_83,NA,20,83
HB_17_25,HB_17_25,NA,17,25
HB_18_33,HB_18_33,NA,18,33
HB_22_43,HB_22_43,NA,22,43
HB_16_27,HB_16_27,NA,16,27
HB_22_41,HB_22_41,NA,22,41
HB_16_61,HB_16_61,NA,16,61
HB_16_77,HB_16_77,NA,16,77
HB_18_89,HB_18_89,NA,18,89
HB_18_15,HB_18_15,NA,18,15
HB_16_33,HB_16_33,NA,16,33
HB_22_58,HB_22_58,NA,22,58
HB_17_63,HB_17_63,NA,17,63
HB_18_46,HB_18_46,NA,18,46
HB_18_71,HB_18_71,NA,18,71
HB_17_94,HB_17_94,NA,17,94
HB_18_54,HB_18_54,NA,18,54
HB_20_34,HB_20_34,NA,20,34
HB_20_42,HB_20_42,NA,20,42
HB_20_47,HB_20_47,NA,20,47
HB_22_67,HB_22_67,NA,22,67
HB_16_56,HB_16_56,NA,16,56
HB_18_86,HB_18_86,NA,18,86
HB_17_78,HB_17_78,NA,17,78
HB_17_27,HB_17_27,NA,17,27
HB_19_50,HB_19_50,NA,19,50
HB_20_44,HB_20_44,NA,20,44
HB_18_43,HB_18_43,NA,18,43
HB_16_66,HB_16_66,NA,16,66
HB_20_67,HB_20_67,NA,20,67
